Domain,Component,Value,CI_low,CI_high
Scenes,Stimulus,0.5850624724161947,0.44021842711749937,0.6929679253764536
Scenes,Individual,0.10510186158641834,0.06267635586556192,0.16278477614916073
Scenes,Exposure,0.0011261008054126995,0,0.007857007965893732
Scenes,Stimulus*Individual,0.2376332222210732,0.17272650924385313,0.325356857119271
Scenes,Exposure*Individual,0.0054478942257021835,0.0010994392642982881,0.011773768291574881
Scenes,Stimulus*Exposure,0.0019753453902850797,0,0.006148500905314518
Scenes,Residual,0.06365310335491388,0.04573991785211962,0.0897411687428723
Scenes,Stimulus_rep,0.6248351700768837,0.47863516189650473,0.7279331042934276
Scenes,Individual_rep,0.11224671322454999,0.06641612855503869,0.17557029570089341
Scenes,Exposure_rep,0.0012026534283901599,0,0.008375951592655131
Scenes,Stimulus*Individual_rep,0.2537875899119319,0.18154215089868228,0.35385906392426375
Scenes,Exposure*Individual_rep,0.005818243479229642,0.0011910121675815248,0.012708508442651275
Scenes,Stimulus*Exposure_rep,0.002109629879014611,0,0.006578789728931045
Scenes,Repeatable,0.9363468966450861,0.9102588312571278,0.9542600821478804
Scenes,Unique,0.3481829780331937,0.25626273386313775,0.4752213976473131
Scenes,Unique_rep,0.37185254661571154,0.269682607838475,0.5163098051767655
Scenes,Shared,0.6518170219668062,0.269682607838475,0.5163098051767655
Scenes,Shared_rep,0.6281474533842885,0.48369019482323433,0.730317392161525
Abstract,Stimulus,0.1280743316970437,0.06963394311589544,0.1968338313449416
Abstract,Individual,0.3126827593383245,0.22225453272592963,0.40076100061417586
Abstract,Exposure,0.00639516635919492,0,0.031856600045841024
Abstract,Stimulus*Individual,0.4025957821487263,0.3434947795225741,0.46885857864562175
Abstract,Exposure*Individual,0.014871228716227038,0.005929201818399524,0.02588127779308956
Abstract,Stimulus*Exposure,0.0020712378041275923,0,0.006954721273882502
Abstract,Residual,0.13330949393635588,0.11005466298321204,0.1603512789073201
Abstract,Stimulus_rep,0.14777401021586678,0.08120744579798793,0.22522760663817878
Abstract,Individual_rep,0.36077787532077005,0.26045990093043647,0.4574375594812622
Abstract,Exposure_rep,0.007378835137170986,0,0.03701530397673571
Abstract,Stimulus*Individual_rep,0.4645208172144929,0.3903332885560199,0.5500235912965199
Abstract,Exposure*Individual_rep,0.017158638074587368,0.006883712054310026,0.030293365921992343
Abstract,Stimulus*Exposure_rep,0.0023898240371119216,0,0.008057620581165124
Abstract,Repeatable,0.8666905060636441,0.8396487210926799,0.8899453370167879
Abstract,Unique,0.7301497702032779,0.6618771109579358,0.7911114694113939
Abstract,Unique_rep,0.8424573306098504,0.7611458198372206,0.9105976367261166
Abstract,Shared,0.26985022979672213,0.7611458198372206,0.9105976367261166
Abstract,Shared_rep,0.1575426693901496,0.08940236327388341,0.23885418016277937
